English	Swedish	POS	source	row
2G (Third Generation)	2G (andra generationen)	N?	ICT-keywords-20141203.xlsx	6
3-tier Web		N?	ICT-keywords-20141203.xlsx	17
3D (three dimensional)	tre dimensionell	N?	ICT-keywords-20141203.xlsx	7
3D modelling	3D-modellering	N?	ICT-keywords-20141203.xlsx	9
3D- design	3D-utformning	N?	ICT-keywords-20141203.xlsx	8
3D-model	3D-modell	N?	ICT-keywords-20141203.xlsx	10
3D-modeling	3D-modellering	N?	ICT-keywords-20141203.xlsx	11
3D-printing	3D-skrivare	N?	ICT-keywords-20141203.xlsx	12
3D-visualization	3D-visualisering	N?	ICT-keywords-20141203.xlsx	13
3D/stereo scene analysis  	Scenanalys i 3D/stereo	N?	ACM-klassificering-1998-en-sv.xls	1069
3G (Third Generation)	3G (tredje generationen)	N?	ICT-keywords-20141203.xlsx	14
3rd Generation Partnership Project (3GPP)		N?	ICT-keywords-20141203.xlsx	15
3rd Generation Partnership Project (3GPP2)		N?	ICT-keywords-20141203.xlsx	16
4G (Fourth Generation)	4G (fjärde generationen)	N?	ICT-keywords-20141203.xlsx	18
6LoWPAN (IPv6 over Low power Wireless Personal Area Networks)		N?	ICT-keywords-20141203.xlsx	19
[FIPS-201] Personal Identity Verification (PIV)		N?	ICT-keywords-20141203.xlsx	3
AAA (Authentication, Authorization, and Accounting)	AAA (autentisering, Authorization och Redovisning)	N?	ICT-keywords-20141203.xlsx	20
abandon	övergiva	N?	ICT-keywords-20141203.xlsx	21
ability	förmåga	N?	ICT-keywords-20141203.xlsx	22
absence	frånvaro	N?	ICT-keywords-20141203.xlsx	23
absolute semantic	absolut semantisk	N?	ICT-keywords-20141203.xlsx	24
abstract	abstrakt	N?	ICT-keywords-20141203.xlsx	25
abstract	abstrakt, abstraktt	A	shorter-gf-termsEngSwe.tsv	4
abstract data type, abstract data types	abstrakt datatyp, abstrakta datatypen, abstrakta datatyper	N	shorter-gf-termsEngSwe.tsv	6
Abstract data types 	Abstrakta datatyper	N?	ACM-klassificering-1998-en-sv.xls	437
abstract method, abstract methods	abstrakt metod, abstrakta metoden, abstrakta metodar	N	shorter-gf-termsEngSwe.tsv	7
abstract program models	abstrakta programmodeller	N?	ICT-keywords-20141203.xlsx	26
Abstract Syntax Notation.One (ASN.1)		N?	ICT-keywords-20141203.xlsx	27
abstract, abstracts	utdrag, utdraget, utdrag	N	shorter-gf-termsEngSwe.tsv	5
Abstracting methods 		N?	ACM-klassificering-1998-en-sv.xls	871
abstraction	abstraktion	N?	ICT-keywords-20141203.xlsx	28
abstraction, abstractions	abstraktion, abstraktionen, abstraktioner	N	shorter-gf-termsEngSwe.tsv	8
Abuse and crime involving computers  	Missbruk och kriminalitet i samband med datorer	N?	ACM-klassificering-1998-en-sv.xls	1370
Abuse and crime involving computers [**] 	Missbruk och  brott i samband med datorer [**]	N?	ACM-klassificering-1998-en-sv.xls	1380
accelerate, accelerated, accelerated	 accelerera, accelererade, accelererat	V	shorter-gf-termsEngSwe.tsv	9
acceleration, accelerations	acceleration, accelerationen, accelerationer	N	shorter-gf-termsEngSwe.tsv	10
acceleration|s	acceleration|er	N?	ICT-keywords-20141203.xlsx	29
accelerator, accelerators	accelerator, acceleratorn, acceleratorer	N	shorter-gf-termsEngSwe.tsv	11
accelerometer	accelerometern	N?	ICT-keywords-20141203.xlsx	30
accept accepts acceptable accepted accepting 	acceptera accepterar godtagbart accepteras acceptera	N?	ICT-keywords-20141203.xlsx	31
accept, accepted, accepted	 acceptera, accepterade, accepterat	V	shorter-gf-termsEngSwe.tsv	12
acceptance, acceptances	godkännande, godkännandet, godkännanden	N	shorter-gf-termsEngSwe.tsv	13
access accessing accessed accessible	tillgång åtkomst nås åtkomlig	N?	ICT-keywords-20141203.xlsx	32
access control	atkomstkontroll	N?	ICT-keywords-20141203.xlsx	33
access control, access controls	åtkomstkontroll, åtkomstkontrollen, åtkomstkontroller	N	shorter-gf-termsEngSwe.tsv	15
Access controls 	Åtkomstkontroller	N?	ACM-klassificering-1998-en-sv.xls	505
Access methods 		N?	ACM-klassificering-1998-en-sv.xls	832
Access methods 	Åtkomstmetoder	N?	ACM-klassificering-1998-en-sv.xls	488
access model	åtkomstmetod	N?	ICT-keywords-20141203.xlsx	34
Access schemes 	Åtkomstscheman	N?	ACM-klassificering-1998-en-sv.xls	263
access, accesses	åtkomst, åtkomsten, åtkomster	N	shorter-gf-termsEngSwe.tsv	14
accessibility	tillgänglighet framkomlighet	N?	ICT-keywords-20141203.xlsx	35
accessibility promise	framkomlighetslöfte	N?	ICT-keywords-20141203.xlsx	36
accessibility, accessibilities	tillgänglighet, tillgängligheten, tillgängligheter	N	shorter-gf-termsEngSwe.tsv	16
accommodate|s	ackommodera	N?	ICT-keywords-20141203.xlsx	37
accompanied	åtföljd	N?	ICT-keywords-20141203.xlsx	38
accompany, accompanied, accompanied	 medfölja, medföljde, medföljt	V	shorter-gf-termsEngSwe.tsv	17
according	enligt	N?	ICT-keywords-20141203.xlsx	39
account accounts	konto konton	N?	ICT-keywords-20141203.xlsx	40
account, accounts	konto, kontot, konton	N	shorter-gf-termsEngSwe.tsv	18
accounting	redovisning	N?	ICT-keywords-20141203.xlsx	41
accounting software, accounting softwares	bokföringsprogram, bokföringsprogrammet, bokföringsprogram	N	shorter-gf-termsEngSwe.tsv	19
Accreditation  	Ackreditering	N?	ACM-klassificering-1998-en-sv.xls	1358
Accreditation [**] 	Ackreditering/godkännande	N?	ACM-klassificering-1998-en-sv.xls	1365
accumulated	ackumulerade	N?	ICT-keywords-20141203.xlsx	42
accumulator, accumulators	ackumulator, ackumulatorn, ackumulatorer	N	shorter-gf-termsEngSwe.tsv	20
accuracy	noggrannhet/exakthet	N?	ICT-keywords-20141203.xlsx	43
accuracy, accuracies	noggrannhet, noggrannheten, noggrannheter	N	shorter-gf-termsEngSwe.tsv	21
accurate	ackurat/noggrann/exakt	N?	ICT-keywords-20141203.xlsx	44
achieve achieves achieved	uppnå uppnår uppnådda	N?	ICT-keywords-20141203.xlsx	45
achieve, achieved, achieved	 uppnå, uppnådde, uppnått	V	shorter-gf-termsEngSwe.tsv	22
acknowledge acknowledgement acknowledgements acknowledged	erkänna kvittens kvittenser kvitto	N?	ICT-keywords-20141203.xlsx	46
acknowledge, acknowledgemeed, acknowledgemeed	 erkänna, erkände, erkänt	V	shorter-gf-termsEngSwe.tsv	23
ACM-klassificering-1998-en-sv.xls		N?
acoustic	akustisk, akustiskt	A	shorter-gf-termsEngSwe.tsv	24
acoustic, acoustics	akustik, akustiken, akustiker	N	shorter-gf-termsEngSwe.tsv	25
acoustic|s	akustik	N?	ICT-keywords-20141203.xlsx	47
acquisition	anskaffning	N?	ICT-keywords-20141203.xlsx	48
acronym, acronyms	akronym, akronymen, akronymer	N	shorter-gf-termsEngSwe.tsv	26
across	tvärs/över	N?	ICT-keywords-20141203.xlsx	49
act acts acting	agera agerar agerar/agerande	N?	ICT-keywords-20141203.xlsx	50
act, acted, acted	 agera, agerade, agerat	V	shorter-gf-termsEngSwe.tsv	28
act, acts	handling, handlingen, handlingar	N	shorter-gf-termsEngSwe.tsv	27
action plan	åtgärdsprogram	N?	ICT-keywords-20141203.xlsx	51
action research	aktionsforskning	N?	ICT-keywords-20141203.xlsx	52
action, actions	handling, handlingen, handlingar	N	shorter-gf-termsEngSwe.tsv	29
activate activation	aktivera aktiverings	N?	ICT-keywords-20141203.xlsx	53
activation, activations	aktivering, aktiveringen, aktiveringar	N	shorter-gf-termsEngSwe.tsv	30
active	aktiv, aktivt	A	shorter-gf-termsEngSwe.tsv	31
active activated activation activity activities	aktiv aktiverad aktivering aktivitetsverksamhet	N?	ICT-keywords-20141203.xlsx	54
Active Management Technology (AMT) 		N?	ICT-keywords-20141203.xlsx	55
activity activities	aktivitet aktiviteter	N?	ICT-keywords-20141203.xlsx	56
actor, actors	skådespelare, skådespelaren, skådespelare	N	shorter-gf-termsEngSwe.tsv	32
actor|s	aktör|er	N?	ICT-keywords-20141203.xlsx	57
actual actually	faktiska faktiskt	N?	ICT-keywords-20141203.xlsx	58
actuators	ställdon	N?	ICT-keywords-20141203.xlsx	59
ad, ads	reklam, reklamen, reklamer	N	shorter-gf-termsEngSwe.tsv	33
Adaptable architectures 	Anpassningsbara arkitekturer	N?	ACM-klassificering-1998-en-sv.xls	215
adaptation	anpassning	N?	ICT-keywords-20141203.xlsx	61
adaptation, adaptations	anpassning, anpassningen, anpassningar	N	shorter-gf-termsEngSwe.tsv	34
adapter adapters adapt adapted adaptive adapting	adapter adaptrar anpassa anpassad adaptiv/anpassningsbar anpassning	N?	ICT-keywords-20141203.xlsx	62
adapter, adapters	adapter, adaptern, adaptrar	N	shorter-gf-termsEngSwe.tsv	35
adaptive	adaptiv, adaptivt	A	shorter-gf-termsEngSwe.tsv	36
Adaptive and iterative quadrature  		N?	ACM-klassificering-1998-en-sv.xls	704
add adds added	adderar tillägger tillsatt	N?	ICT-keywords-20141203.xlsx	63
addition additional	därtill ytterligare	N?	ICT-keywords-20141203.xlsx	64
additional	ytterligare, ytterligare	A	shorter-gf-termsEngSwe.tsv	37
address addressing addresses addressed addressable	adress/adressera adresserar adresser adresserade adresserbar	N?	ICT-keywords-20141203.xlsx	65
address space, address spaces	adressrymd, adressrymden, adressrymder	N	shorter-gf-termsEngSwe.tsv	40
address, addressed, addressed	 adressera, adresserade, adresserat	V	shorter-gf-termsEngSwe.tsv	39
address, addresses	adress, adressen, adresser	N	shorter-gf-termsEngSwe.tsv	38
address-centric	adress-centrerad	N?	ICT-keywords-20141203.xlsx	66
addressing model	adresseringsmodell	N?	ICT-keywords-20141203.xlsx	67
adjustment	trimning/justering	N?	ICT-keywords-20141203.xlsx	68
administrative	administrativ, administrativt	A	shorter-gf-termsEngSwe.tsv	41
ADMINISTRATIVE DATA PROCESSING 	ADMINISTRATIV DATABEHANDLING	N?	ACM-klassificering-1998-en-sv.xls	1289
administrators administratively administrative administration	administratörer administrativt administrativ administrering	N?	ICT-keywords-20141203.xlsx	69
admission requirement, admission requirements	tillträdeskrav, tillträdeskravet, tillträdeskrav	N	shorter-gf-termsEngSwe.tsv	42
adobe, adobes	adobe, adobeet, adobe	N	shorter-gf-termsEngSwe.tsv	43
adopts adopted adoption adopting	antar antas/antog antagande antar	N?	ICT-keywords-20141203.xlsx	70
advance advances advanced advancing	avancera framsteg avancerade avancera	N?	ICT-keywords-20141203.xlsx	71
advance, advanced, advanced	 avancera, avancerade, avancerat	V	shorter-gf-termsEngSwe.tsv	45
advance, advances	framsteg, framsteget, framsteg	N	shorter-gf-termsEngSwe.tsv	44
Advanced Encryption Standard (AES)		N?	ICT-keywords-20141203.xlsx	72
Advanced Metering Infrastructure (AMI)		N?	ICT-keywords-20141203.xlsx	73
Advanced technologies 	Avancerade tekniker	N?	ACM-klassificering-1998-en-sv.xls	162
advantage advantages	fördel fördelar	N?	ICT-keywords-20141203.xlsx	74
advantages	fördelar	N?	ICT-keywords-20141203.xlsx	75
advertisements	annonser	N?	ICT-keywords-20141203.xlsx	76
advice advisory	rådgivning rådgivande	N?	ICT-keywords-20141203.xlsx	77
Aerospace 	Rymdfart	N?	ACM-klassificering-1998-en-sv.xls	1299
aesthetic interaction	estetisk interaktion	N?	ICT-keywords-20141203.xlsx	78
affect, affected, affected	 påverka, påverkade, påverkat	V	shorter-gf-termsEngSwe.tsv	46
affective interaction	påverkande interaktion	N?	ICT-keywords-20141203.xlsx	80
affect|s	påverka|r	N?	ICT-keywords-20141203.xlsx	79
affordable	prisvärd	N?	ICT-keywords-20141203.xlsx	81
again	igen	N?	ICT-keywords-20141203.xlsx	82
agency agencies	agentur byrå	N?	ICT-keywords-20141203.xlsx	83
agency, agencys	byrå, byrån, byråer	N	shorter-gf-termsEngSwe.tsv	47
agenda	agenda/dagordning	N?	ICT-keywords-20141203.xlsx	84
agent agents	agent/representant/ombud	N?	ICT-keywords-20141203.xlsx	85
agent, agents	agent, agenten, agenter	N	shorter-gf-termsEngSwe.tsv	48
aggregate aggregated aggregation	aggregat aggregerade aggregering	N?	ICT-keywords-20141203.xlsx	86
aggregation, aggregations	aggregation, aggregationen, aggregationer	N	shorter-gf-termsEngSwe.tsv	49
aggregator		N?	ICT-keywords-20141203.xlsx	87
aggressive	aggressiv	N?	ICT-keywords-20141203.xlsx	90
agile	agil, agilt	A	shorter-gf-termsEngSwe.tsv	50
agile	agila	N?	ICT-keywords-20141203.xlsx	88
agile	vig	N?	ICT-keywords-20141203.xlsx	91
agile software development, agile software developments	agil mjukvaruutveckling, agila mjukvaruutvecklingen, agila mjukvaruutvecklingar	N	shorter-gf-termsEngSwe.tsv	51
agree agrees agreed	samtycka samtycker överenskomna	N?	ICT-keywords-20141203.xlsx	92
agreement agreements	avtal	N?	ICT-keywords-20141203.xlsx	89
agreement, agreements	avtal, avtalet, avtal	N	shorter-gf-termsEngSwe.tsv	52
ai, ais	AI, AIn, AIer	N	shorter-gf-termsEngSwe.tsv	53
aid, aided, aided	 hjälpa, hjälpte, hjälpt	V	shorter-gf-termsEngSwe.tsv	54
aim, aimed, aimed	 syfta, syftade, syftat	V	shorter-gf-termsEngSwe.tsv	56
aim, aims	syfte, syftet, syften	N	shorter-gf-termsEngSwe.tsv	55
aiming	siktar	N?	ICT-keywords-20141203.xlsx	93
airflow, airflows	luftflöde, luftflödet, luftflöden	N	shorter-gf-termsEngSwe.tsv	57
airports	flygplatser	N?	ICT-keywords-20141203.xlsx	94
airspace	luftrummet	N?	ICT-keywords-20141203.xlsx	95
alarm alarms	larm	N?	ICT-keywords-20141203.xlsx	96
alarm system	larmsystem	N?	ICT-keywords-20141203.xlsx	97
alarmclock	väckarklocka	N?	ICT-keywords-20141203.xlsx	98
alert	alert/varna	N?	ICT-keywords-20141203.xlsx	99
algebra, algebras	algebra, algebran, algebror	N	shorter-gf-termsEngSwe.tsv	58
algebraic	algebraisk	N?	ICT-keywords-20141203.xlsx	100
algebraic	algebraisk, algebraiskt	A	shorter-gf-termsEngSwe.tsv	59
Algebraic algorithms 	Algebraiska algoritmer	N?	ACM-klassificering-1998-en-sv.xls	985
Algebraic approaches to semantics 	Algebraiska sätt att behandla semantik	N?	ACM-klassificering-1998-en-sv.xls	621
Algebraic language theory 		N?	ACM-klassificering-1998-en-sv.xls	655
algorithm algorithms	algoritm algoritmer	N?	ICT-keywords-20141203.xlsx	101
algorithm analysis, algorithm analyses	algoritmanalys, algoritmanalysen, algoritmanalyser	N	shorter-gf-termsEngSwe.tsv	61
Algorithm design and analysis  		N?	ACM-klassificering-1998-en-sv.xls	800
algorithm design techniques, algorithm design techniqueses	algoritmdesigntekniker, algoritmdesignteknikret, algoritmdesigntekniker	N	shorter-gf-termsEngSwe.tsv	63
algorithm design, algorithm designs	algoritmdesign, algoritmdesignen, algoritmdesigner	N	shorter-gf-termsEngSwe.tsv	62
algorithm, algorithms	algoritm, algoritmen, algoritmer	N	shorter-gf-termsEngSwe.tsv	60
algorithmic	algoritmisk, algoritmiskt	A	shorter-gf-termsEngSwe.tsv	64
Algorithms 	Algoritmer	N?	ACM-klassificering-1998-en-sv.xls	1224
Algorithms  	Algoritmer	N?	ACM-klassificering-1998-en-sv.xls	55
Algorithms (F.2.1, F.2.2) 	Algoritmer (F.2.1, F.2.2)	N?	ACM-klassificering-1998-en-sv.xls	984
Algorithms implemented in hardware 	Algoritmer implementerade i maskinvara	N?	ACM-klassificering-1998-en-sv.xls	163
aliasing	aliaserande	N?	ICT-keywords-20141203.xlsx	102
alignment	"utstakning/rätning/""i linje med"""	N?	ICT-keywords-20141203.xlsx	103
All Digital Phase-Locked Loop (ADPLL)		N?	ICT-keywords-20141203.xlsx	104
all-IP network	all-IP-nätverk	N?	ICT-keywords-20141203.xlsx	107
alleviate	lindra	N?	ICT-keywords-20141203.xlsx	105
alliance alliances	allians allianser	N?	ICT-keywords-20141203.xlsx	106
alliance, alliances	förbund, förbundet, förbund	N	shorter-gf-termsEngSwe.tsv	65
allocation allocates allocated	allokering allokerar allokeras/allokerade	N?	ICT-keywords-20141203.xlsx	108
allocation, allocations	fördelning, fördelningen, fördelningar	N	shorter-gf-termsEngSwe.tsv	66
Allocation/deallocation strategies 		N?	ACM-klassificering-1998-en-sv.xls	478
allow allows allowed allowing	tillåta tillåter tillåtet/tillät tillåter	N?	ICT-keywords-20141203.xlsx	109
allow, allowed, allowed	 låta, lät, låtit	V	shorter-gf-termsEngSwe.tsv	67
alpha, alphas	alfa, alfat, alfan	N	shorter-gf-termsEngSwe.tsv	68
alphabet	alfabet/bokstavs	N?	ICT-keywords-20141203.xlsx	110
alphanumeric	alfanumerisk	N?	ICT-keywords-20141203.xlsx	111
already	redan	N?	ICT-keywords-20141203.xlsx	112
altering	förändra	N?	ICT-keywords-20141203.xlsx	113
alternate, alternated, alternated	 växla, växlade, växlat	V	shorter-gf-termsEngSwe.tsv	69
Alternation and nondeterminism 	Växling och icke-determinism	N?	ACM-klassificering-1998-en-sv.xls	579
alternative alternatives alternate alternating alternatively	alternativ alternativ alterera alternerande alternativt	N?	ICT-keywords-20141203.xlsx	114
although	"""även om""/fastän"	N?	ICT-keywords-20141203.xlsx	115
altruistic	altruistiska	N?	ICT-keywords-20141203.xlsx	116
always	alltid	N?	ICT-keywords-20141203.xlsx	117
Amazon Elastic Compute Cloud Application Programming Interface (EC2API)		N?	ICT-keywords-20141203.xlsx	118
ambient information system	omgivande informationssystem	N?	ICT-keywords-20141203.xlsx	119
ambient intelligence	intelligent omgivning 	N?	ICT-keywords-20141203.xlsx	120
ambient interface	omgivande gränssnitt	N?	ICT-keywords-20141203.xlsx	121
ambient networks	omgivande nätverk	N?	ICT-keywords-20141203.xlsx	122
amend amended amending	ändra ändras ändrings	N?	ICT-keywords-20141203.xlsx	123
amendment|s	ändring|AR	N?	ICT-keywords-20141203.xlsx	124
amoled, amoleds	amoled, amoledet, amoled	N	shorter-gf-termsEngSwe.tsv	70
amount|s	belopp uppgår	N?	ICT-keywords-20141203.xlsx	125
amplifier	förstärkare	N?	ICT-keywords-20141203.xlsx	126
amplitude, amplitudes	amplitud, amplituden, amplituder	N	shorter-gf-termsEngSwe.tsv	71
amplitude-shift	amplitud-skift	N?	ICT-keywords-20141203.xlsx	127
amusement	nöjen/underhållning	N?	ICT-keywords-20141203.xlsx	128
analog	analog	N?	ICT-keywords-20141203.xlsx	129
Analog computers  	Analoga datorer	N?	ACM-klassificering-1998-en-sv.xls	216
Analog computers [**] 	Analoga datorer [**]	N?	ACM-klassificering-1998-en-sv.xls	229
analog front-end	analog framända	N?	ICT-keywords-20141203.xlsx	130
analog, analogs	analog, analoget, analog	N	shorter-gf-termsEngSwe.tsv	72
analogical reasoning in computer concept		N?	ICT-keywords-20141203.xlsx	131
Analogies 	Analogier	N?	ACM-klassificering-1998-en-sv.xls	1036
analogous	analog/likartad	N?	ICT-keywords-20141203.xlsx	132
analyse, analysed, analysed	 analysera, analyserade, analyserat	V	shorter-gf-termsEngSwe.tsv	73
analysis	analys	N?	ICT-keywords-20141203.xlsx	133
Analysis of algorithms 	Analys av algoritmer	N?	ACM-klassificering-1998-en-sv.xls	986
ANALYSIS OF ALGORITHMS AND PROBLEM COMPLEXITY (6, 7, 1.3) 	ANALYS AV ALGORITMER OCH PROBLEMKOMPLEXITET (6, 7, 1.3) 	N?	ACM-klassificering-1998-en-sv.xls	593
analysis of experimental data	analys av experimentell data	N?	ICT-keywords-20141203.xlsx	134
analysis, analysises	analys, analysen, analyser	N	shorter-gf-termsEngSwe.tsv	74
analytical	analytisk	N?	ICT-keywords-20141203.xlsx	135
analytical	analytisk, analytiskt	A	shorter-gf-termsEngSwe.tsv	75
analyze analyzed	analysera analyseras	N?	ICT-keywords-20141203.xlsx	136
anchor	ankare	N?	ICT-keywords-20141203.xlsx	137
android, androids	android, androiden, androider	N	shorter-gf-termsEngSwe.tsv	76
angle	vinkel	N?	ICT-keywords-20141203.xlsx	138
animal	djur	N?	ICT-keywords-20141203.xlsx	139
Animation 	Animering	N?	ACM-klassificering-1998-en-sv.xls	1135
Animation 	Animering	N?	ACM-klassificering-1998-en-sv.xls	1250
Animations 		N?	ACM-klassificering-1998-en-sv.xls	930
anisotropic	anisotrop, anisotropt	A	shorter-gf-termsEngSwe.tsv	77
announce announces announcement announcements announced announcer announcing 	annonsera/meddela tillkännager meddelande meddelanden tillkännages speakern meddelar	N?	ICT-keywords-20141203.xlsx	140
annoyed	irriterad/förargad	N?	ICT-keywords-20141203.xlsx	141
annual	årlig	N?	ICT-keywords-20141203.xlsx	142
anonymous	anonym	N?	ICT-keywords-20141203.xlsx	143
answer answers answering answered	besvara svarar/svar svarar svarade/besvarats	N?	ICT-keywords-20141203.xlsx	144
answer, answers	svar, svaret, svar	N	shorter-gf-termsEngSwe.tsv	78
Answer/reason extraction 	Extraktion av svar/härledning	N?	ACM-klassificering-1998-en-sv.xls	1015
ant, ants	myra, myran, myror	N	shorter-gf-termsEngSwe.tsv	79
antecedent	tidigare, tidigare	A	shorter-gf-termsEngSwe.tsv	80
antenna array	antennrad/antennordning	N?	ICT-keywords-20141203.xlsx	146
antenna, antennas	antenn, antennen, antenner	N	shorter-gf-termsEngSwe.tsv	81
antenna|s	antenn antenner	N?	ICT-keywords-20141203.xlsx	145
Antialiasing [**] 	Antialiasing	N?	ACM-klassificering-1998-en-sv.xls	1101
antibiotic, antibiotics	antibiotikum, antibiotikumet, antibiotika	N	shorter-gf-termsEngSwe.tsv	82
anticipated	förväntad	N?	ICT-keywords-20141203.xlsx	147
antivirus, antiviruses	antivirus, antiviruset, antivirus	N	shorter-gf-termsEngSwe.tsv	83
apache, apaches	apache, apacheet, apache	N	shorter-gf-termsEngSwe.tsv	84
aperiodic	aperiodisk	N?	ICT-keywords-20141203.xlsx	148
apparatus	apparat	N?	ICT-keywords-20141203.xlsx	149
appear appearance appeared	synas utseende verkade	N?	ICT-keywords-20141203.xlsx	150
apple, apples	äpple, äpplet, äpplen	N	shorter-gf-termsEngSwe.tsv	85
appliance appliances	apparat apparater	N?	ICT-keywords-20141203.xlsx	151
appliance, appliances	tillämpning, tillämpningen, tillämpningar	N	shorter-gf-termsEngSwe.tsv	86
applicable applicability	tillämplig tillämpbarhet	N?	ICT-keywords-20141203.xlsx	152
application (app)	tillämpning (app)	N?	ICT-keywords-20141203.xlsx	153
application applications applicable	tillämpning tillämpningar tillämpbar	N?	ICT-keywords-20141203.xlsx	154
application developer	programutvecklaren	N?	ICT-keywords-20141203.xlsx	155
application development	apputveckling	N?	ICT-keywords-20141203.xlsx	156
Application packages 	Applikationspaket	N?	ACM-klassificering-1998-en-sv.xls	1108
Application Packages 	Tillämpningsprogram	N?	ACM-klassificering-1998-en-sv.xls	1463
application programming interface (API)	programmeringsgränssnitt (API)	N?	ICT-keywords-20141203.xlsx	158
application scalability	tillämpningsskalbarhet	N?	ICT-keywords-20141203.xlsx	159
application software, application softwares	tillämpningsprogram, tillämpningsprogramet, tillämpningsprogram	N	shorter-gf-termsEngSwe.tsv	88
application specific intergrated circuit (ASIC)	tillämpningsspecifik inbygd krets (ASIC)	N?	ICT-keywords-20141203.xlsx	161
application utilization	tillämpningsutnyttjande	N?	ICT-keywords-20141203.xlsx	162
application, applications	applikation, applikationen, applikationer	N	shorter-gf-termsEngSwe.tsv	87
application-level	applikationsnivå	N?	ICT-keywords-20141203.xlsx	157
application-specific	applikationsspecifika	N?	ICT-keywords-20141203.xlsx	160
Applications 	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	1143
Applications 	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	1202
Applications 	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	1226
Applications 	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	1242
Applications 	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	994
Applications  	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	761
Applications  	Tillämpningar	N?	ACM-klassificering-1998-en-sv.xls	778
Applications (SMTP, FTP, etc.)  	Tillämpningar (SMTP, FTP etc.)	N?	ACM-klassificering-1998-en-sv.xls	249
Applications and Expert Systems (H.4, J) 	Tillämpningar och expertsystem (H.4, J)	N?	ACM-klassificering-1998-en-sv.xls	1000
Applicative (functional) languages  	Applikationsspråk (funktionella språk)	N?	ACM-klassificering-1998-en-sv.xls	422
Applicative (Functional) Programming 	Applikativ (funktionell programmering	N?	ACM-klassificering-1998-en-sv.xls	304
applied data science, applied data sciences	applicerad datavetenskap, applicerade datavetenskapen, applicerade datavetenskaper	N	shorter-gf-termsEngSwe.tsv	89
applied statistics in engineering	tillämpad statistisk i ingenjörsarbete	N?	ICT-keywords-20141203.xlsx	163
apply applies applying applied 	applicera, tillämpa	N?	ICT-keywords-20141203.xlsx	164
apply, applied, applied	 applicera, applicerade, applicerat	V	shorter-gf-termsEngSwe.tsv	90
appointed	utsedd	N?	ICT-keywords-20141203.xlsx	165
approach approaches approachable approaching	metod metoder  tillgänglig annalkande	N?	ICT-keywords-20141203.xlsx	166
appropriate	lämpligt	N?	ICT-keywords-20141203.xlsx	167
appropriate, appropriated, appropriated	 bestämma, bestämde, bestämt	V	shorter-gf-termsEngSwe.tsv	91
approve approves approved approval	godkänna godkänner godkänd godkännande	N?	ICT-keywords-20141203.xlsx	168
Approximate methods 	Approximativa metoder	N?	ACM-klassificering-1998-en-sv.xls	1158
approximate, approximated, approximated	 approximera, approximerade, approximerat	V	shorter-gf-termsEngSwe.tsv	92
approximately 	cirka/ungefär	N?	ICT-keywords-20141203.xlsx	169
Approximation 		N?	ACM-klassificering-1998-en-sv.xls	680
Approximation of surfaces and contours  		N?	ACM-klassificering-1998-en-sv.xls	681
